Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,audio_caption,visual_caption
1,also I was the point person on my companys transition from the KL-5 to GR-6 system.,Chandler,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731",The speaker sounds happy.,"The image shows two men sitting at a desk in an office. On the desk there are papers, books, a telephone, a monitor, a keyboard, a mouse, a flower vase, and other objects. In the background, there is a plant, window blinds, a door, and a wall."
2,You mustve had your hands full.,The Interviewer,neutral,neutral,0,1,8,21,"00:16:21,940","00:16:23,442",The speaker sounds angry.,"The image shows a man in a suit sitting at a desk in front of a computer, with papers and other objects on the table. Behind him is a cupboard filled with books and other items."
3,That I did. That I did.,Chandler,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389","The speaker sounds male, happy and his speech is in English.","The image shows a man in a suit and tie sitting at a table with a flower vase and other objects in front of him, and a frame attached to the wall in the background."
4,So lets talk a little bit about your duties.,The Interviewer,neutral,neutral,0,3,8,21,"00:16:26,820","00:16:29,572","The speaker sounds English, male with a neutral mood.",The image shows a man in a suit sitting at a desk with papers and other objects on the table in front of him. Behind him is a cupboard filled with books and other items.
5,My duties?  All right.,Chandler,surprise,positive,0,4,8,21,"00:16:34,452","00:16:40,917",The speaker sounds like a male in a neutral mood.,"The image shows a man in a suit and tie sitting at a table with a flower vase and other objects on it, and a frame attached to the wall in the background."
6,"Now youll be heading a whole division, so youll have a lot of duties.",The Interviewer,neutral,neutral,0,5,8,21,"00:16:41,126","00:16:44,337",The speaker sounds happy.,"The image shows a man in a suit sitting at a desk with a pen in his hand. On the desk there are various objects, and in the background there is a cupboard filled with books and other items."
7,I see.,Chandler,neutral,neutral,0,6,8,21,"00:16:48,800","00:16:51,886",Male,"The image shows a man in a suit and tie sitting at a table with a flower vase and other objects in front of him, and a frame attached to the wall in the background."
8,But therell be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,neutral,0,7,8,21,"00:16:48,800","00:16:54,514",Male,"The image shows a man in a suit and tie sitting at a table with a flower vase and other objects in front of him, and a frame attached to the wall in the background."
9,Good to know.,Chandler,neutral,neutral,0,8,8,21,"00:16:59,477","00:17:00,478",The speaker sounds happy.,"The image shows a man in a suit and tie sitting at a desk, with a box and other objects on the table in front of him. To his left is another person, and in the background there is a wall with a photo frame."
10,We can go into detail,The Interviewer,neutral,neutral,0,9,8,21,"00:17:00,478","00:17:02,719",The speaker sounds happy.,"The image shows a man in a suit and tie sitting at a table with a smile on his face. On the table there are various objects, and in the background there is a wall with a photo frame."
11,No dont I beg of you!,Chandler,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858",The speaker sounds like they are pleading.,"The image shows a man in a suit and tie sitting at a desk, with a box and other objects on the table in front of him. To his left is another person, and in the background there is a wall with a photo frame."
12,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",The Interviewer,neutral,neutral,0,11,8,21,"00:17:05,025","00:17:13,324",The speaker sounds confident.,"The image shows a man in a suit and tie sitting at a table talking to another man. On the table there are various objects, and in the background there is a wall with a photo frame."
13,Really?!,Chandler,surprise,positive,0,12,8,21,"00:17:13,491","00:17:16,536",The speaker sounds surprised.,The image shows two men in suits and ties standing next to each other in front of a wall with a plant in the background.
14,Absolutely.  You can relax,The Interviewer,neutral,neutral,0,13,8,21,"00:17:17,579","00:17:20,707",The speaker sounds happy.,"The image shows a man in a suit and tie standing next to another man, both of them smiling. In the background there is a wall, window blinds, houseplants, and other objects."
15,But then who? The waitress I went out with last month?,Joey,surprise,negative,1,0,9,23,"00:36:40,364","00:36:42,824",Neutral,The image shows a man sitting on top of a bed next to a woman. On the bed there are pillows and on the wall behind them there are photo frames. To the left of the bed is a door and a table with a houseplant on it.
16,You know? Forget it!,Rachel,sadness,negative,1,1,9,23,"00:36:44,368","00:36:46,578",The speaker sounds like they're quickly shaking their head.,"The image shows a woman standing in front of a door with her hands clasped together, surrounded by a lamp, a plant, a frame on the wall, and a cupboard."
17,"No-no-no-no, no! Who, who were you talking about?",Joey,surprise,negative,1,2,9,23,"00:36:44,368","00:36:49,122",The speaker sounds surprised.,"The image shows a woman standing in front of a door with her hands clasped together, surrounded by a lamp, a plant, a frame on the wall, and a cupboard."
18,"No, I-I-I-I don't, I actually don't know",Rachel,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791",Neutral,The image shows a woman in a bikini standing next to a man in a Hawaiian shirt. She is holding a glass in her hand and there is a door in the background. On the left side of the image there is an object on the table and a frame on the wall.
19,Ok!,Joey,neutral,neutral,1,4,9,23,"00:36:52,376","00:36:53,543","The speaker sounds male, around 40 years old, speaking in Mandarin with a neutral mood.",The image shows a man and woman standing next to each other in a room with a wall adorned with photo frames and a door in the background.
20,"All right, well...",Joey,neutral,neutral,1,5,9,23,"00:36:53,545","00:36:55,000","The speaker sounds male, speaks English, and is in a neutral mood.","The image shows a man and woman standing next to each other in a room. The man is wearing a shirt and the woman has her arm around him. In the background, there is a wall with a photo frame and a door."
23,"Yeah, sure!",Rachel,neutral,neutral,1,8,9,23,"0:36:59,425","0:37:01,439",Neutral,"The image shows a man and woman standing in a living room next to each other. On the right side of the image there is a table with drawers, and on top of the drawers there are books, a flower vase, and other objects. In the background there are frames attached to the wall, lamps, plants, a window with curtains, and a door."
24,"Hey, Mon.",Chandler,neutral,neutral,2,0,3,6,"00:05:50,350","00:05:51,433","The speaker sounds male, speaks English, and conveys an angry mood.","The image shows a group of people standing around a bar, with a man in the center holding a stick. On the left side of the image, there are photo frames on the wall, and in the background there are lights and other objects."
25,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,neutral,2,1,3,6,"0:05:52,435","0:05:53,897",The speaker sounds like a female in a neutral mood.,"The image shows a man and woman standing in front of a bar, surrounded by a group of people sitting on chairs. On the left side of the image, there is a table with various objects on it, and in the background there are photo frames on the wall and a dartboard."
26,Do I ever.,Chandler,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743",Angry,"The image shows a group of people standing around a bar, with a woman sitting on a chair in the center. On the left side of the image, there is a table with various objects on it, and in the background there are photo frames on the wall and a dartboard."
27,Chris says theyre closing down the bar.,Monica,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734",The speaker sounds angry.,The image shows a woman in a blue dress standing next to a man in an orange shirt. Behind them is a rack of wine bottles and a board attached to the wall.
28,No way!,Chandler,surprise,negative,2,4,3,6,"0:05:58,734","0:05:59,774",Angry,"The image shows a man and woman standing in front of a bar, surrounded by a group of people. The man is wearing a brown shirt and the woman is wearing an unknown outfit. In the background, there is a door, a board with something written on it, lights, and a wall."
29,"Yeah, apparently theyre turning it into some kinda coffee place.",Monica,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152",The speaker sounds like a female in her twenties speaking English.,"The image shows a woman in a blue dress standing next to a man at a bar, with a table in front of them and a rack of bottles behind them. On the wall behind them are several posters, adding to the atmosphere of the scene."
30,Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157","The speaker sounds male, happy, and in a neutral mood.","The image shows a man in an orange shirt standing in front of a bar, surrounded by a group of people. In the background, there are boards with text, lights, and other objects."
31,Got me.,Monica,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157",The speaker sounds angry.,"The image shows a man in an orange shirt standing in front of a bar, surrounded by a group of people. He is holding a bottle in his hand, and there is a woman standing beside him. On the right side of the image, there are various objects, and in the background there are boards with text on them, lights, and other objects."
32,Can I get a beer.,Chandler,neutral,neutral,2,8,3,6,"0:06:07,367","0:06:08,035","The speaker sounds male, speaks English, and conveys an angry mood.","The image shows a group of people standing around a bar, with a woman sitting on a stool holding a bottle in her hand. On the left side of the image, there is a table with various objects on it, and in the background there are frames attached to the wall and a dartboard."
33,"Hey, did you pick a roommate?",Monica,neutral,neutral,2,9,3,6,"0:06:08,035","0:06:10,019",The speaker sounds happy.,"The image shows a group of people standing around a bar, with a woman sitting on a stool holding a bottle in her hand. On the left side of the image, there is a table with various objects on it, and in the background there are photo frames on the wall and a dartboard."
34,You betcha!,Chandler,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973","The speaker sounds male, within the age range of 16-25 years old, speaking","The image shows a group of people standing around a bar, with a woman sitting on a stool holding a bottle in her hand. On the left side of the image, there is a table with various objects on it, and in the background there are photo frames on the wall, a dartboard, and other objects."
35,Is it the Italian guy?,Monica,neutral,neutral,2,11,3,6,"0:06:10,973","0:06:12,167",The speaker is female with an angry mood.,"The image shows a woman in a blue dress sitting at a bar, smiling, with two men standing to her right and a rack of wine bottles in the background."
36,"Um-mm, yeah right!",Chandler,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497","The speaker sounds male, speaks English, and conveys a neutral mood.","The image shows a man and woman standing in front of a bar, both of them smiling. The man is holding a bottle in his hand, and there are a few other people in the background. The bar is illuminated by lights and there is a board with something written on it."
